单词,美式音标,中文翻译,例句,例句翻译
scope,skop,n. 范围；余地；视野；眼界；导弹射程；v. 审视,measures to limit the scope of criminals’ activities,限制罪犯活动范围的措施
terrific,tə'rɪfɪk,adj. 极好的；极其的，非常的；可怕的,That’s a terrific idea!,这个主意真棒！
community,kə'mjʊnəti,n. 社区；[生态] 群落；共同体；团体,The new arts centre will serve the whole community.,这座新的艺术中心将为整个社区服务。
mandate,'mændet,n. 授权；命令，指令；委托管理；受命进行的工作；v. 授权；托管,Matters debated in meetings do not become a mandate automatically.,会议上讨论的事宜并不能自动成为一项指令。
resist,rɪ'zɪst,v. 抵抗，抗拒；忍耐；n. [助剂] 抗蚀剂；防染剂,He resisted pressure to resign.,他顶住压力，没辞职。
interpret,ɪn'tɝprɪt,v. 说明；口译,"They spoke good Spanish, and promised to interpret for me.",他们西班牙语说得很好，答应替我翻译。
proportion,prə'pɔrʃən,n. 比例，占比；部分；面积；均衡；v. 使成比例；使均衡；分摊,A large proportion of the dolphins in that area will eventually die.,那个地区的很大一部分海豚最终都会死去。
total,'totl,adj. 全部的；完全的；整个的；v. 总数达；n. 总数，合计,a total ban on cigarette advertising,香烟广告的全面禁止
bureau,'bjʊro,n. 局，处；衣柜；办公桌,the Federal Bureau of Investigation,联邦调查局
series,'sɪriz,n. 系列，连续；[电] 串联；级数；丛书,the series of events that led to the outbreak of war,导致战争爆发的一系列事件
ancestry,'ænsɛstri,n. 祖先；血统,"Most people of European or African ancestry have the ""wet"" kind: thick and sticky.",大多数欧洲或者非洲血统的人耳垢是湿的，厚的，有粘性的。
stretch,strɛtʃ,"v. 伸展,张开；（大量地）使用，消耗（金钱，时间）；使竭尽所能；使全力以赴；；n. 伸展，延伸","Carl sat up in bed, yawned, and stretched.",卡尔从床上坐起来，打了个呵欠，伸了伸懒 腰。
prudent,'prʊdnt,adj. 谨慎的；精明的；节俭的；n. (Prudent)人名；(法)普吕当,prudent house buyers,谨慎的购房者
publisher,'pʌblɪʃɚ,n. 出版者，出版商；发行人,The publishers planned to produce the journal on a weekly basis.,出版社计划将这份杂志做成周刊。
phrase,frez,"n. 短语, 习语, 措辞, 乐句；v. 措词, 将(乐曲)分成乐句",Who first used the phrase ‘survival of the fittest’?,“适者生存”这一说法最早是谁说的？
halt,hɔlt,v. 停止；立定；踌躇，犹豫；n. 停止；立定；休息,The government has failed to halt economic decline.,政府没能阻止经济衰退。
survey,ˈsɝˌve; (for v.) sɝˈve,n. 调查；测量；审视；纵览；v. 调查；勘测；俯瞰,The council conducted a survey of the uses to which farm buildings are put.,该委员会对农场建筑的用途进行了一个调查。
reside,rɪ'zaɪd,v. 住，居住；属于,"He spent most of his time in Rutherglen, where his family resided.",他大部分时间都在拉瑟格伦度过，他的家人就在那里居住。
discourage,dɪs'kɝɪdʒ,v. 阻止；使气馁,Aspirin may discourage tumour growth in some types of cancer.,阿司匹林可能遏制某些恶性肿瘤的生长。
carpenter,ˈkɑːrpəntər,n. 木匠，木工；v. 当木匠，做木匠工作,He is a carpenter by profession.,他以木工为业。
reverse,rɪ'vɝs,n. 背面；相反；倒退；失败；v. 颠倒；倒转；adj. 反面的；颠倒的；反身的,"I owe you nothing. If anything, the reverse is true (= you owe me ) .",我不欠你什么。 如果说欠的话，是你欠我才对。
declare,dɪ'klɛr,v. 宣布，声明；断言，宣称,A state of emergency has been declared.,已宣布进入紧急状态。
deliver,dɪ'lɪvɚ,v. 交付；发表；递送；释放；给予（打击）；给…接生；n. 投球,The morning mail has just been delivered.,早晨的邮件刚送到。
spoil,spɔɪl,v. 溺爱；糟蹋；破坏；掠夺；n. 次品；奖品,The whole park is spoiled by litter.,整个公园环境都给垃圾破坏了。
astonish,ə'stɑnɪʃ,v. 使惊讶,Her reply astonished me.,她的回答让我大吃一惊。
suspicious,sə'spɪʃəs,adj. 可疑的；怀疑的；多疑的,His reluctance to answer my questions made me suspicious .,他不愿回答我的问题，这引起我的怀疑。
prevail,pri'vel,v. 盛行，流行；战胜，获胜,Justice will prevail.,正义终将获胜。
compete,kəm'pit,v. 竞争；比赛；对抗,He will be competing in the 100-metre race.,他将参加100米比赛。
display,dɪ'sple,n. 显示；炫耀；v. 显示；表现；陈列；adj. 展览的；陈列用的,This time the display flashed a red warning signal.,这次显示器上闪烁着红色的警报信号。
department,dɪ'pɑrtmənt,n. 部；部门；系；科；局,the personnel department,人事部
condense,kən'dɛns,v. 浓缩；凝结,the mist which condensed on every cold surface,每个冰冷的表面上凝结的水汽
ascend,ə'sɛnd,v. 上升；登高；追溯,The plane ascended rapidly.,飞机迅速爬升。
convenient,kən'vinɪənt,adj. 方便的；[废语]适当的；[口语]近便的；实用的,Mail-order catalogs are a convenient way to shop.,使用邮购目录是一种方便的购物方式。
dim,dɪm,adj. 暗淡的，昏暗的；模糊的，看不清的；悲观的，怀疑的；v. 使暗淡，使失去光泽；使变模糊；n. 笨蛋，傻子,in the dim light of the early dawn,在微弱的晨曦里
clinic,'klɪnɪk,n. 临床；诊所,an appointment at an outpatient clinic,门诊预约
raise,rez,v. 提高；筹集；养育；升起；n. 高地；上升；加薪,Can you raise the lamp so I can see?,你能把灯举高点好让我看清吗？
impartial,ɪm'pɑrʃəl,adj. 公平的，公正的；不偏不倚的,We offer impartial advice on tax and insurance.,我们就税收和保险问题提供公充的建议。
fashion,'fæʃən,n. 时尚；时装；样式；时髦人物；v. 使用；改变；做成…的形状,His ideas are coming back into fashion (= they are becoming popular again ) .,他的观点又流行起来。
custom,'kʌstəm,n. 习惯，惯例；风俗；海关，关税；经常光顾；[总称]（经常性的）顾客；adj. （衣服等）定做的，定制的,"He awoke early, as was his custom.",他很早醒来，这是他的习惯。
auditorium,",ɔdɪ'tɔrɪəm",n. 礼堂，会堂；观众席,Anderson was to sing at the Constitution Hall auditorium.,安德森将要在宪法厅的观众席演唱。
invalid,ˈɪnvəlɪd；ɪnˈvælɪd,adj. 无效的；有病的；残废的；n. 病人；残废者；v. 使伤残；使退役,"Without the right date stamped on it, your ticket will be invalid.",票上若没有加盖正确日期就是废票。
contemptuous,kən'tɛmptʃuəs,adj. 轻蔑的；侮辱的,a contemptuous glance,轻蔑的一瞥
envy,'ɛnvi,n. 嫉妒，妒忌；羡慕；v. 嫉妒，妒忌；羡慕,She could see that all the other girls were green with envy(= feeling a lot of envy ).,她看得出其他女孩都很眼红。
characteristic,",kærəktə'rɪstɪk",adj. 典型的；特有的；表示特性的；n. 特征；特性；特色,the highly characteristic (= very typical ) flint walls of the local houses,当地房子非常有特色的燧石墙
foundation,faʊn'deʃən,n. 基础；地基；基金会；根据；创立,It took the builders three weeks to lay the foundations .,建筑工人花了三星期的时间打地基。
petition,pə'tɪʃən,n. 请愿；请愿书；祈求；[法] 诉状；v. 请愿；请求,Local residents have drawn up a petition to protest the hospital closure.,当地居民已草拟了一份请愿书，抗议关闭医院。
fresh,frɛʃ,adj. 新鲜的；清新的；淡水的；无经验的；n. 开始；新生；泛滥；adv. 刚刚，才；最新地,I’ll just make some fresh coffee.,我来重新煮点咖啡。
organ,'ɔrɡən,n. [生物] 器官；机构；风琴；管风琴；嗓音,the decision-making organs,决策机关
considerate,kənˈsɪdərɪt,adj. 体贴的；体谅的；考虑周到的,He was always kind and considerate.,他总是很善良，为别人着想。
harness,'hɑrnɪs,v. 治理；套；驾驭；披上甲胄；利用；n. 马具；甲胄；挽具状带子；降落伞背带；日常工作,We can harness the power of the wind to generate electricity.,我们可以利用风力发电。
overtake,",ovɚ'tek",v. 赶上；压倒；突然来袭,He pulled out to overtake the van.,他把车驶出所在车道想超过那辆小货车。
dense,dɛns,adj. 稠密的；浓厚的；愚钝的,a dense rurally-based population,居住在乡村的密集人口
ventilate,'vɛntɪlet,v. 使通风；给…装通风设备；宣布,Both patients are sedated and ventilated.,两位病人都用了镇静剂和呼吸机。
site,saɪt,n. 地点；位置；场所；v. 设置；为…选址,an archaeological site,考古现场
parade,pə'red,n. 游行；阅兵；炫耀；行进；阅兵场；v. 游行；炫耀；列队行进,a victory parade,胜利游行
bill,bɪl,n. [法] 法案；广告；账单；[金融] 票据；钞票；清单；v. 宣布；开账单；用海报宣传,Have you paid the phone bill?,电话费你付了吗？
decay,dɪ'ke,v. 衰退，[核] 衰减；腐烂，腐朽；n. 衰退，[核] 衰减；腐烂，腐朽,Her body was already starting to decay.,她的尸体已经开始腐烂。
marvellous,'mɑrvələs,adj. 不可思议的；惊人的,‘How was your holiday?’ ‘Marvellous!’,“假期过得好吗？”“好极了！”
grave,ɡrev,adj. 重大的；严肃的；黯淡的；n. 墓穴，坟墓；死亡；v. 雕刻；铭记,Matthew’s life is in grave danger .,马修的生命危在旦夕。
diminish,dɪ'mɪnɪʃ,v. 使减少；使变小,The party’s share of the electorate has diminished steadily.,支持这个政党的选民比例持续下降。
storage,'stɔrɪdʒ,n. 存储；仓库；贮藏所,the storage of highly radioactive material,高放射性材料的存放
drastic,'dræstɪk,adj. 激烈的；猛烈的；n. 烈性泻药,drastic cuts in government spending,政府开支的急剧削减
peep,pip,n. 偷看；隐约看见，瞥见；v. 窥视；慢慢露出，出现；吱吱叫,"""Fourteen minutes,"" Chris said, taking a peep at his watch.",“十四分钟，”克里斯瞥了一眼手表说道。
mischief,'mɪstʃɪf,n. 恶作剧；伤害；顽皮；不和,"Now run along, and don’t get into mischief .",好了，走开，不要捣乱。
deploy,dɪ'plɔɪ,v. 配置；展开；使疏开；n. 部署,"So far, however, we have said nothing about how to deploy it.",到现在，我们还没说任何如何部署的内容。
shift,ʃɪft,n. 移动；变化；手段；轮班；v. 移动；转变；转换,I work shifts.,我轮班工作。
percent,pɚ'sɛnt,n. 百分比，百分率；部分；百分数；adj. 百分之…的；adv. 以百分之…地,"But there are billions more people out there who are not in the top one percent, and they’re not in the top two or three either.",但是还有十亿多的人不在其中，他们不在其中的百分之一，也不再其中的两百分之一或者三百分之一的其中。
dubious,'dubɪəs,adj. 可疑的；暧昧的；无把握的；半信半疑的,The firm was accused of dubious accounting practices.,该公司被指控有不诚实的会计行为。
weird,wɪrd,adj. 怪异的；不可思议的；超自然的；n. （苏格兰）命运；预言,A really weird thing happened last night.,昨晚发生了一件非常奇怪的事。
preferable,'prɛfrəbl,adj. 更好的，更可取的；更合意的,"For this dish, fresh herbs and garlic are preferable.",做这道菜，用新鲜香草和大蒜更好。
cope,kop,v. 处理；对付；竞争；n. 长袍,Sometimes I find it hard to cope.,有时候我觉得很难应付。
dictate,'dɪktet,v. 命令；口述；使听写；n. 命令；指示,Federal funds have to be used as dictated by Washington.,联邦款项得按照华盛顿规定的途径使用。
warrant,'wɔrənt,n. 根据；证明；正当理由；委任状；v. 保证；担保；批准；辩解,There is no warrant for copying other people’s work.,剽窃他人作品毫无道理。
foremost,'fɔr'most,adj. 最重要的；最先的；adv. 首先；居于首位地,one of the country’s foremost authorities on chemical warfare,该国化学战方面的最高权威之一
bend,bɛnd,v. 使弯曲；使屈服；使致力；使朝向；n. 弯曲,Several branches started bending towards the ground.,数根枝条开始向地面弯垂。
evaluate,ɪ'væljʊ'et,v. 评价；估价；求…的值,You should be able to evaluate your own work.,你应该能够评估自己的工作。
headline,'hɛdlaɪn,n. 大标题；内容提要；栏外标题；头版头条新闻；v. 给…加标题；使成为注意中心；大力宣传,a paper carrying the front-page headline: ‘Space Aliens meet with President’,头版报道题为“天外来客会见总统”的报纸
attend,ə'tɛnd,v. 出席；上（大学等）；照料；招待；陪伴,Only 12 people attended the meeting.,只有12个人出席了会议。
interfere,",ɪntɚ'fɪr",v. 干涉；妨碍；打扰,"My daughter-in-law said that I was interfering, but I was only trying to help.",我的儿媳说我多管闲事，但我只是想帮忙。
locate,ˈloˌket; loˈket,v. 位于；查找…的地点,We couldn’t locate the source of the radio signal.,我们无法确定无线电信号的来源。
integrate,'ɪntɪɡret,v. 使…完整；使…成整体；求…的积分；表示…的总和；adj. 整合的；完全的；n. 一体化；集成体,The Marine Corps was the last service to integrate.,美国海军陆战队是最后合并的部队。
ancestor,'ænsɛstɚ,n. 始祖，祖先；被继承人,My ancestors were French.,我的祖先是法国人。
flush,flʌʃ,n. 激动，洋溢；面红；萌芽；旺盛；奔流；v. 使齐平；发红，使发亮；用水冲洗；使激动；adj. 大量的；齐平的；丰足的，洋溢的；挥霍的,There was a slight flush on his cheeks.,他的面颊上有淡淡的红晕。
statute,'stætʃut,n. [法] 法规；法令；条例,Protection for the consumer is laid down by statute (= established by law ) .,保障消费者权益已有法律明文规定。
defect,‘dɪfɛkt,n. 缺点，缺陷；不足之处；v. 变节；叛变,All the cars are tested for defects before they leave the factory.,所有汽车在出厂前都经过品质检验。
manipulate,mə'nɪpjulet,v. 操纵；操作；巧妙地处理；篡改,He was one of those men who manipulated people.,他是那种要摆布别人的人。
expectation,",ɛkspɛk'teʃən",n. 期待；预期；指望,"Having raised expectations (= made people more hopeful ), he went on to help only a few people.",他唤起了大家的希望，但接着只是帮助了几个人。
respect,rɪ'spɛkt,n. 尊敬，尊重；方面；敬意；v. 尊敬，尊重；遵守,The boys showed a complete lack of respect for authority.,这些男孩子根本无视权威。
acrobat,'ækrəbæt,n. 杂技演员，特技演员；随机应变者；翻云覆雨者，善变者,,
provision,prə'vɪʒn,n. 规定；条款；准备；[经] 供应品；v. 供给…食物及必需品,The agreement includes a provision for each side to check the other side’s weapons.,协议有项规定，允许双方互查武器。
potential,pə'tɛnʃl,n. 潜能；可能性；[电] 电势；adj. 潜在的；可能的；势的,The boy has great potential.,这个男孩有很大的潜力。
focus,'fokəs,n. 焦点；中心；清晰；焦距；v. 使集中；使聚焦,The focus of recent research has been on environmental issues.,近期的研究重点是环境问题。
encounter,ɪn'kaʊntɚ,v. 遭遇，邂逅；遇到；n. 遭遇，偶然碰见,The doctor had encountered several similar cases in the past.,那位医生过去曾碰到过好几个类似病例。
object,'ɑbdʒɛkt,n. 目标；物体；客体；宾语；v. 提出…作为反对的理由,an everyday object such as a spoon,调羹之类的日常用品
forehead,'fɔr'hɛd,n. 额，前额,...the lines on her forehead.,…她前额上的皱纹。
reject,rɪ'dʒɛkt,v. 拒绝；排斥；抵制；丢弃；n. 被弃之物或人；次品,Sarah rejected her brother’s offer of help.,萨拉拒绝了她弟弟的帮助。
despair,dɪ'spɛr,n. 绝望；令人绝望的人或事；v. 绝望，丧失信心,The noise from the neighbours used to drive him to despair .,过去，邻居的噪音常常吵得他心烦意乱。
collide,kə'laɪd,v. 碰撞；抵触，冲突,A car and a van collided on the motorway.,一辆汽车和一辆小型货车在高速公路上相撞了。
fade,fed,v. 褪色；凋谢；逐渐消失；adj. 平淡的；乏味的；n. [电影][电视] 淡出；[电影][电视] 淡入,Hopes of a peace settlement are beginning to fade.,达成和平协议的希望日渐渺茫。
pretend,prɪ'tɛnd,v. 假装，伪装，佯装；adj. 假装的,Let’s pretend we’re on the moon.,我们假装自己是在月球上吧。
variable,'vɛrɪəbl,adj. 变量的；可变的；易变的，多变的；变异的，[生物] 畸变的；n. [数] 变量；可变物，可变因素,Expect variable cloudiness and fog tomorrow.,预计明天多云有雾，天气多变。
feedback,'fidbæk,n. 反馈；成果，资料；回复,How can I provide feedback without making someone angry?,我怎样才能提出反馈意见又不会得罪人呢？
mutual,'mjutʃuəl,adj. 共同的；相互的，彼此的,"I didn’t like Dev, and the feeling seemed to be mutual.",我不喜欢德夫，他好像也不喜欢我。
boost,bʊst,v. 促进；增加；支援；n. 推动；帮助；宣扬,The new resort area has boosted tourism.,新的度假区促进了旅游业的发展。
sequence,'sikwəns,n. [数][计] 序列；顺序；续发事件；v. 按顺序排好,Be careful to perform the actions in the correct sequence .,注意要按正确的顺序来完成动作。
flourish,ˈflɜːrɪʃ,n. 兴旺；茂盛；挥舞；炫耀；华饰；v. 夸耀；挥舞,He took his cap from under his arm with a flourish and pulled it low over his eyes.,他挥手从腋下取出帽子，拉低帽檐盖住眼睛。
obsess,əb'sɛs,v. 迷住，缠住；使…着迷；使…困扰,A string of scandals is obsessing America.,一系列丑闻在困扰着美国。
humanity,hjʊ'mænəti,n. 人类；人道；仁慈；人文学科,We want a clean healthy environment for all humanity .,我们希望全人类拥有一个干净健康的生存环境。
demonstrate,'dɛmən'stret,v. 证明；展示；论证,The study demonstrates the link between poverty and malnutrition.,这项研究证明了贫困与营养不良之间的联系。
advisable,əd'vaɪzəbl,adj. 明智的，可取的，适当的,Regular medical check-ups are advisable.,定期检查身体是明智的。
rough,rʌf,adj. 粗糙的；粗略的；粗野的；艰苦的；未经加工的；v. 使粗糙；粗暴对待；草拟；n. 艰苦；高低不平的地面；未经加工的材料；粗糙的部分；adv. 粗糙地；粗略地；粗暴地,Her hands were rough from hard work.,她的双手因为干重活而变得很粗糙。
status,ˈstætəs; ˈstetəs,n. 地位；状态；情形；重要身份,These documents have no legal status in Britain.,这些文件在英国并无法律效力。
restrict,rɪ'strɪkt,v. 限制；约束；限定,The new law restricts the sale of hand guns.,新法规限制手枪的销售。
religion,rɪ'lɪdʒən,n. 宗教；宗教信仰,The U.S. Constitution promises freedom of religion.,美国宪法保证宗教信仰自由。
pathetic,pə'θɛtɪk,adj. 可怜的，悲哀的；感伤的；乏味的,The child looked a pathetic sight.,那个孩子看上去很可怜。
wander,'wɑndɚ,v. 徘徊；漫步；迷路；离题；n. (Wander)人名；(英)万德(女子教名),She wandered aimlessly about the house.,她漫无目的地在房子里走来走去。
pledge,plɛdʒ,n. 保证，誓言；抵押；抵押品，典当物；v. 保证，许诺；用……抵押；举杯祝……健康,The meeting ended with a pledge to step up cooperation between the six states of the region.,会议以加快该地区6个州之间合作的承诺结束。
resort,rɪ'zɔrt,n. 凭借，手段；度假胜地；常去之地；v. 求助，诉诸；常去；采取某手段或方法,Lagoon Reef is one of the best resort hotels.,潟湖礁是最好的度假酒店之一。
jealous,'dʒɛləs,adj. 妒忌的；猜疑的；唯恐失去的；戒备的,She got insanely jealous and there was a terrible fight.,她变得过分地猜忌，接着是一场激烈的打斗。
actual,'æktʃuəl,adj. 真实的，实际的；现行的，目前的,I’m not joking. Those were his actual words.,我没开玩笑，那都是他的原话。
artifact,"'ɑrtə,fækt",n. 人工制品；手工艺品,,
outrage,'aʊtredʒ,n. 愤怒，愤慨；暴行；侮辱；v. 凌辱，强奸；对…施暴行；激起愤怒,The response to the jury’s verdict was one of outrage.,陪审团的裁决引发了愤慨。
limited,'lɪmɪtɪd,adj. 有限的；n. 高级快车,My knowledge of the business is limited.,我对这一行了解有限。
asset,'æsɛt,n. 资产；优点；有用的东西；有利条件；财产；有价值的人或物,the value of a company’s assets,公司的资产价值
instrument,'ɪnstrəmənt,n. 仪器；工具；乐器；手段；器械,surgical instruments,外科(手术)器械
eliminate,ɪ'lɪmɪnet,v. 消除；排除,a ruthless dictator who eliminated all his rivals,铲除所有异己的残酷独裁者
physician,fɪ'zɪʃən,n. [医] 医师；内科医师,...your family physician.,…你的家庭医生。
stable,'stebl,n. 马厩；牛棚；adj. 稳定的；牢固的；坚定的；v. 被关在马厩,Our stable abuts against his dwelling.,我们的马厩和他的住所毗连。
fake,feɪk,n. 假货；骗子；假动作；v. 捏造；假装…的样子；adj. 伪造的,The painting was judged a fake.,这幅画被鉴定为赝品。
fancy,'fænsi,n. 幻想；想象力；爱好；adj. 想象的；奇特的；昂贵的；精选的；v. 想象；喜爱；设想；自负,"Oh, that was just a fancy of his.",啊，那只是他的异想天开。
viewpoint,'vjupɔɪnt,n. 观点，看法；视角,Different viewpoints produce different images.,角度不同，产生的画面也不同。
approximate,ə'prɑksɪmət,v. 近似；使…接近；粗略估计；adj. [数] 近似的；大概的,What is the approximate number of students in each class?,每个班大致有多少学生？
default,dɪ'fɔlt,v. 拖欠；不履行；不到场；n. 违约；缺席；缺乏；系统默认值,"The credit card business is down, and more borrowers are defaulting on loans.",信用卡生意正在走下坡路，更多的借贷人不履行还贷责任。
negotiate,nɪ'ɡoʃɪet,v. 谈判，商议；转让；越过,His first aim is to get the warring parties back to the negotiating table (= discussing something ).,他的首要目标就是把交战各方拉回到谈判桌上。
institute,'ɪnstɪtut,v. 开始（调查）；制定；创立；提起（诉讼）；n. 学会，协会；学院,We had no choice but to institute court proceedings against the airline.,我们别无选择，只能对航空公司提起诉讼。
exquisite,ɪk'skwɪzɪt,adj. 精致的；细腻的；优美的，高雅的；异常的；剧烈的；n. 服饰过于讲究的男子,the most exquisite craftsmanship,最精美的工艺
superiority,"su,pɪrɪ'ɔrəti",n. 优越，优势；优越性,Janet always spoke with an air of superiority.,珍妮特说话时总显得盛气凌人。
domestic,də'mɛstɪk,adj. 国内的；家庭的；驯养的；一心只管家务的；n. 国货；佣人,Unfortunately his domestic life wasn’t very happy.,不幸的是，他的家庭生活并不幸福。
repress,rɪ'prɛs,v. 抑制；镇压（叛乱等）；约束,He had long ago repressed the painful memories of his childhood.,他长久压抑着儿时的痛苦记忆。
accompany,ə'kʌmpəni,v. 陪伴，伴随；伴奏,Children under 14 must be accompanied by an adult.,14岁以下儿童必须有成人陪同。
litter,'lɪtɚ,n. 垃圾；轿，担架；一窝（动物的幼崽）；凌乱；v. 乱丢；给…垫褥草；把…弄得乱七八糟,People who drop litter can be fined in some cities.,在有些城市，乱扔垃圾的人会被罚款。
explode,ɪk'splod,v. 爆炸，爆发；激增,The device was thrown at an army patrol but failed to explode.,炸弹投向了陆军巡逻队，但没有爆炸。
sway,swe,v. 影响；统治；使摇动；n. 影响；摇摆；统治,Don’t allow yourself to be swayed by his promises.,你可不要听了他的许诺就改变主意呀。
exclaim,ɪk'sklem,v. 呼喊，惊叫；大声叫嚷,‘No!’ she exclaimed in shock.,“不！”她惊呼道。
faculty,'fæklti,n. 科，系；能力；全体教员,Both faculty and students oppose the measures.,教师和学生都反对这些措施。
lure,lʊr,n. 诱惑；饵；诱惑物；v. 诱惑；引诱,The excitement of hunting big game in Africa has been a lure to Europeans for 200 years.,在非洲捕捉大型猎物所带来的刺激，200年来一直吸引着欧洲人。
forum,'fɔrəm,n. 论坛，讨论会；法庭；公开讨论的广场,Members of the council agreed that was an important forum for discussion.,理事会成员们一致认为那是一个用于讨论的重要论坛。
glitter,'ɡlɪtɚ,v. 闪光；闪烁；n. 闪光；灿烂,The river glittered in the sunlight.,阳光下河面波光粼粼。
qualification,",kwɑlɪfɪ'keʃən",n. 资格；条件；限制；赋予资格,He left school without any qualifications.,他离校时没有拿到任何文凭。
mercy,'mɝsi,n. 仁慈，宽容；怜悯；幸运；善行,He showed no mercy to his enemies.,他对敌人毫不仁慈。
dismiss,dɪs'mɪs,v. 解散；解雇；开除；让离开；不予理会、不予考虑,The government has dismissed criticisms that the country’s health policy is a mess.,有人认为国家医疗政策一塌糊涂，政府对这种批评持否认态度。
acquaint,ə'kwent,v. 使熟悉；使认识,I need to acquaint myself with the new regulations.,我得熟悉一下新的规章制度。
contend,kən'tɛnd,v. 竞争；奋斗；斗争；争论,"Inevitably, fights break out between the members of contending groups.",争权夺利的几个团体之间不可避免地发生了打斗。
tame,teɪm,adj. 驯服的；平淡的；乏味的；顺从的；v. 驯养；使变得平淡；制服；n. (Tame)人名；(捷)塔梅,Most of the criticism has been pretty tame.,评论的大部分内容很乏味。
phase,fez,n. 月相,We should phase the input and output of the machine.,我们应该使机器的输入功率和输出功率的相位同步。
exploit,ɪk'splɔɪt,v. 开发，开拓；剥削；开采；n. 勋绩；功绩,Homeworkers can easily be exploited by employers.,在家工作的人容易被雇主剥削。
tangible,'tændʒəbl,adj. 有形的；切实的；可触摸的；n. 有形资产,The silence of the countryside was almost tangible .,乡村的寂静几乎能感觉得到。
regulate,'rɛɡjulet,v. 调节，规定；控制；校准；有系统的管理,strict rules regulating the use of chemicals in food,限制化学品在食物中使用的严格规定
personality,",pɝsə'næləti",n. 个性；品格；名人,"Despite their different personalities, they became the best of friends.",尽管个性不同，他们还是成了最好的朋友。
metropolis,mə'trɑpəlɪs,n. 大都市；首府；重要中心,"The city has become a huge, bustling metropolis.",这座城市已变成繁忙的大都市。
extravagance,ɪk'strævəɡəns,n. 奢侈，浪费；过度；放肆的言行,"When the company went under, tales of his extravagance surged through the industry.",这家公司破产时，有关他的奢靡的传言传遍了整个业界。
eternal,ɪ'tɝnl,adj. 永恒的；不朽的,the Christian promise of eternal life,基督教承诺的永生
execute,'ɛksɪkjut,v. 实行；执行；处死,13 people were summarily executed (= killed without any trial or legal process ) by the guerrillas.,有13人被游击队员就地处决。
rigorous,'rɪɡərəs,adj. 严格的，严厉的；严密的；严酷的,a rigorous analysis of defence needs,对国防需求的缜密分析
fearful,'fɪrfəl,adj. 可怕的；担心的；严重的,a shy and fearful child,一个羞涩、胆怯的小孩
interior,ɪn'tɪrɪɚ,n. 内部；本质；adj. 内部的；国内的；本质的,The interior of the church was dark.,教堂里很暗。
concrete,'kɑŋkrit,adj. 混凝土的；实在的，具体的；有形的；v. 凝结；n. 具体物；凝结物,a concrete floor,混凝土地面
diploma,dɪ'plomə,n. 毕业证书，学位证书；公文，文书；奖状；vt. 发给…毕业文凭,I’m hoping to get my teaching diploma this year.,我希望今年能拿到教师证书。
pollute,pə'lut,v. 污染；玷污；败坏,beaches polluted by raw sewage,受未经处理的污水污染的海滩
cohesive,ko'hisɪv,adj. 凝聚的；有结合力的；紧密结合的；有粘着力的,a cohesive community,团结的社区
accomplish,ə'kɑmplɪʃ,v. 完成；实现；达到,We have accomplished all we set out to do.,所有计划要做的事情，我们都已完成。
characterise,'kærəktəraiz,v. 刻划……的性格；表示……的特性,,
aspect,'æspɛkt,n. 方面；方向；形势；外貌,a south-facing aspect,朝南方向
agony,'æɡəni,n. 苦恼；极大的痛苦；临死的挣扎,the agony of arthritis,关节炎的剧烈疼痛
swell,swɛl,v. 膨胀；肿胀；隆起；n. 肿胀；隆起；adj. 漂亮的；一流的,Her ankle was already starting to swell.,她的脚踝已经开始肿起来了。
desperately,'despərətli,adv. 拼命地；绝望地；极度地,The doctors tried desperately to save her life.,医生们不惜一切挽救她的生命。
contempt,kən'tɛmpt,n. 轻视，蔑视；耻辱,The public is treated with contempt by broadcasters.,公众受到了节目主持人的轻蔑对待。
injurious,ɪn'dʒʊrərɪəs,adj. 有害的；诽谤的,...substances that are injurious to health.,...有害健康的物质。
succession,sək'sɛʃən,n. 连续；继位；继承权；[生态] 演替,She won the championship four times in succession.,她连续四次夺得冠军。
enclose,ɪn'kloz,v. 围绕；装入；放入封套,Please enclose a cheque with your order.,请随订单附上支票。
highlight,'haɪlaɪt,v. 突出；强调；使显著；加亮；n. 最精彩的部分；最重要的事情；加亮区,Your résumé should highlight your skills and achievements.,你的简历应该突出自己的技能和成绩。
conflict,'kɑnflɪkt,n. 冲突，矛盾；斗争；争执；v. 冲突，抵触；争执；战斗,the threat of industrial conflict in the coalfields,煤田发生劳资纠纷的风险
gamble,'ɡæmbl,v. 赌博；孤注一掷；投机；打赌；n. 赌博；冒险；打赌,Their religion forbids them to drink or gamble.,他们的宗教禁止饮酒和赌博。
superior,səˈpɪriər,adj. 上级的；优秀的，出众的；高傲的；n. 上级，长官；优胜者，高手；长者,She had that superior tone of voice.,她带着那种傲慢的语气。
deceive,dɪ'siv,v. 欺骗；行骗,He had been deceived by a young man claiming to be the son of a millionaire.,他被一个自称是百万富翁之子的年轻人骗了。
accuracy,'ækjərəsi,n. [数] 精确度，准确性,He passes the ball with unerring accuracy.,他传球准确无误。
particle,'pɑrtɪkl,n. 颗粒；[物] 质点；极小量；小品词,dust particles,尘埃
inspire,ɪn'spaɪɚ,v. 激发；鼓舞；启示；产生；使生灵感,We need someone who can inspire the team.,我们需要一个能鼓舞团队士气的人。
repay,ri'pɛi,v. 偿还；报答；报复,I’d like to buy them something to repay all their kindness.,我想给他们买点东西来报答他们的好意。
racial,'reʃl,adj. 种族的；人种的,a victim of racial discrimination,种族歧视的受害者
